,Año,Trimestre,Accesx100hog,Accesx100hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Ingresos
0,2022,3,76.64,23.95,1395277,6031970,2871541,557110,235230,11091128,67055930
1,2022,2,75.97,23.72,1468333,5979214,2723285,556243,231609,10958684,60335724
2,2022,1,73.88,23.05,1533240,6073426,2219533,545814,251996,10624009,55589997
3,2021,4,73.18,22.81,1657615,5984240,2072236,523107,252596,10489794,45467887
4,2021,3,70.58,21.98,1950631,5826257,1566048,492415,250190,10085541,42999944
5,2021,2,69.24,21.55,2018587,5641731,1472246,476968,253552,9863084,38239667
6,2021,1,67.95,21.13,2175211,5424782,1362976,434548,250455,9647972,36676371
7,2020,4,67.62,21.01,2213949,5371824,1311199,421554,253036,9571562,33539703
8,2020,3,66.31,20.59,2263889,5259351,1170879,413259,248821,9356199,31997445
9,2020,2,64.21,19.92,2295533,5005115,1106725,376667,247016,9031056,32102476
10,2020,1,62.86,19.48,2299457,4903674,1047817,352333,209145,8812426,29946216
11,2019,4,62.92,19.49,2414575,4883869,941295,340144,213298,8793181,24169251
12,2019,3,65.79,20.36,2909805,4800091,852221,338241,264326,9164684,21652748
13,2019,2,64.53,19.96,2990457,4635575,760794,308027,265328,8960181,20743118
14,2019,1,62.48,19.31,3132789,4435439,637099,276419,166389,8648135,20207414
15,2018,4,61.42,18.97,3329027,4313831,388013,264299,178485,8473655,16637687
16,2018,3,60.69,18.73,3521447,4238171,247366,246181,93870,8347035,15410981
17,2018,2,59.16,18.24,3557216,4038141,226285,194267,94535,8110444,14319467
18,2018,1,58.82,18.12,3574294,3981129,217460,165300,98870,8037053,13171459
19,2017,4,57.78,17.79,3584311,3818157,211425,155775,100554,7870222,11226127
20,2017,3,56.9,17.51,3622575,3670221,193964,106443,131740,7724943,10065998
21,2017,2,54.9,16.88,3723518,3383434,180777,85813,56122,7429664,9678647
22,2017,1,54.16,16.64,3708898,3276251,180146,84813,55746,7305854,8701201
23,2016,4,53.94,16.56,3722794,3210602,178070,85119,55088,7251673,7483980
24,2016,3,53.73,16.5,3776442,3124855,169898,81455,54300,7206950,6912442
25,2016,2,53.34,16.37,3782085,3035272,167788,85452,59482,7130079,6534241
26,2016,1,51.85,15.9,3792493,2806359,164371,85370,58763,6907356,5936845
27,2015,4,52.63,16.12,3803024,2898226,139187,85726,58668,6984831,5376899
28,2015,3,52.46,16.05,3788696,2840203,162663,84530,58976,6935068,5153739
29,2015,2,51.76,15.82,3767821,2756294,150839,82077,59157,6816188,4701791
30,2015,1,51.36,15.68,3756153,2668248,168188,79098,66045,6737732,4876385
31,2014,4,50.5,15.39,3764038,2536219,149682,76984,71573,6598496,3950441
32,2014,3,50.67,15.43,3714764,2569868,155494,85096,70049,6595271,3478638
33,2014,2,49.86,15.16,3708882,2461670,149363,72405,72148,6464468,3270816
34,2014,1,49.55,15.05,3697066,2407330,150323,70749,72930,6398398,2984054
